KAach,KEach,DVach,EC50ach,m2max,chemax,IC50m2,IC50che,KAunk,KEunk,DVunk,EC50unk,MAXunk,test_freq,SS,
0.3,0.354240948,0.771755526,6.004722973,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.353040326,0.778108568,6.003767268,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.356267204,0.768540452,6.006412498,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.525097097,0.409849826,6.283174226,5.383,0,0,7,7,1,1,7,5,0,0.3,2.56E-05
0.3,0.354397398,0.780082373,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.353399595,0.781226793,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.353146075,0.780270304,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.360981889,0.755294447,6.014467405,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.353231706,0.780419799,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.353302185,0.780032452,6.000054972,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.352665864,0.779179418,6.001742583,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.352985905,0.780397984,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.35884039,0.765348633,6.009602242,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.353606788,0.780031593,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.353127312,0.780487441,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.477111385,0.47152088,6.223766098,5.383,0,0,7,7,1,1,7,5,0,0.3,2.55E-05
0.3,0.355757718,0.77111582,6.00552364,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.35313932,0.77921422,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.355668605,0.777860309,6.004258396,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.630455121,0.327457994,6.384496141,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.353120245,0.780338719,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.353317064,0.779537429,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.398862921,0.622235142,6.099429708,5.383,0,0,7,7,1,1,7,5,0,0.3,2.58E-05
0.3,0.353069077,0.780369605,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.35287043,0.780270965,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.355362966,0.762641619,6.009442154,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.352391144,0.781816423,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.354390124,0.76017068,6.009863675,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.386437244,0.657155581,6.074757752,5.383,0,0,7,7,1,1,7,5,0,0.3,2.58E-05
0.3,0.498198764,0.440539268,6.251409706,5.383,0,0,7,7,1,1,7,5,0,0.3,2.56E-05
0.3,0.349919721,0.778536517,6.000453314,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.353463879,0.77954344,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.35404874,0.779264778,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.358121273,0.7649938,6.008584365,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.364672644,0.73192325,6.027904238,5.383,0,0,7,7,1,1,7,5,0,0.3,2.60E-05
0.3,0.35469517,0.778595406,6.005353829,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.353377898,0.780276024,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.353518614,0.780322246,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
