"Freq","KAach","KEach","DVach","EC50ach","m2max","chemax","IC50m2","IC50che","KAunk","KEunk","DVunk","EC50unk","MAXunk","test_freq","SS"
"finalparamsDF",0.3,2.932083,1.953569,6,5.383,0.975349955160305,0.596532343903129,7.02101805243427,29.8581118815604,1,1,7,5,0,0.3,2.2584039711804e-05
"",0.3,2.932083,1.953569,6,5.383,1.002815954346,0.660321773007325,7.04574934823635,22.1048431865911,1,1,7,5,0,0.3,2.01591945588891e-05
"",0.3,2.932083,1.953569,6,5.383,0.959879835554683,0.596102066629378,7.04872658054626,21.385816068792,1,1,7,5,0,0.3,2.27649807590115e-05
"",0.3,2.932083,1.953569,6,5.383,0.953970559579833,0.738763690871687,7.06217232857934,7.04076135024386,1,1,7,5,0,0.3,2.4059094450996e-05
"",0.3,2.932083,1.953569,6,5.383,1.00181846008831,0.594846514818211,6.99708354188821,23.0112263939672,1,1,7,5,0,0.3,2.2116281938517e-05
"",0.3,2.932083,1.953569,6,5.383,0.983067923613307,0.594227953009035,7.00834749907323,27.8164029393442,1,1,7,5,0,0.3,2.2566731393082e-05
"",0.3,2.932083,1.953569,6,5.383,0.967365136514431,0.596824010332435,7.03594663037664,27.7654537148917,1,1,7,5,0,0.3,2.2660417009187e-05
"",0.3,2.932083,1.953569,6,5.383,1.01265831910694,0.715162967944056,6.99942392686333,23.266653089917,1,1,7,5,0,0.3,1.59060355776335e-05
"",0.3,2.932083,1.953569,6,5.383,1.0070610968076,0.692185177529423,7.0090071226413,17.9585025816054,1,1,7,5,0,0.3,1.77266101703116e-05
"",0.3,2.932083,1.953569,6,5.383,0.961566174390001,0.669031367446278,7.04152179006753,7.34472254552734,1,1,7,5,0,0.3,2.33180872732917e-05
"",0.3,2.932083,1.953569,6,5.383,1.01066784704183,0.730730527281581,7.01475859425028,23.1895932614122,1,1,7,5,0,0.3,1.46329750246195e-05
"",0.3,2.932083,1.953569,6,5.383,0.949088199355411,0.59665507534972,7.12181912575908,27.7862865716339,1,1,7,5,0,0.3,2.3151554444058e-05
"",0.3,2.932083,1.953569,6,5.383,1.00917463843815,0.716638844658677,7.02484375481,23.843433871802,1,1,7,5,0,0.3,1.52301081248446e-05
"",0.3,2.932083,1.953569,6,5.383,1.00785088344079,0.711616965148676,7.02065223785718,15.5865549634627,1,1,7,5,0,0.3,1.63291001465483e-05
"",0.3,2.932083,1.953569,6,5.383,0.96617291671303,0.596854353562607,7.03917701258023,28.0352100395275,1,1,7,5,0,0.3,2.26804307056131e-05
"",0.3,2.932083,1.953569,6,5.383,1.00822539324468,0.670371233488626,6.98133516822089,21.8057158534856,1,1,7,5,0,0.3,1.83818523526181e-05
"",0.3,2.932083,1.953569,6,5.383,1.00690261667859,0.737288103250166,6.99497340044633,7.25548689881869,1,1,7,5,0,0.3,1.97200273618379e-05
"",0.3,2.932083,1.953569,6,5.383,0.961115310859991,0.595376816743105,7.05796742664366,26.1444360187775,1,1,7,5,0,0.3,2.27913374770862e-05
"",0.3,2.932083,1.953569,6,5.383,0.99798587980621,0.594958804713231,6.96095735619401,22.2293611799067,1,1,7,5,0,0.3,2.21302906701581e-05
"",0.3,2.932083,1.953569,6,5.383,0.971983044771037,0.750869300524297,7.00172291720749,6.99657397669247,1,1,7,5,0,0.3,2.3765426909718e-05
"",0.3,2.932083,1.953569,6,5.383,0.969183159907002,0.594530579405366,7.03537807487453,23.1406155613189,1,1,7,5,0,0.3,2.26579359588211e-05
"",0.3,2.932083,1.953569,6,5.383,0.961490021347571,0.597126076288983,7.05492329750958,28.0607410074994,1,1,7,5,0,0.3,2.27759866371034e-05
"",0.3,2.932083,1.953569,6,5.383,0.965663004797366,0.59489163884581,7.02382741536434,24.9679491274105,1,1,7,5,0,0.3,2.26271570065317e-05
"",0.3,2.932083,1.953569,6,5.383,1.01615504354943,0.704759568737817,6.94860753730166,23.7095229273796,1,1,7,5,0,0.3,1.52197047443857e-05
"",0.3,2.932083,1.953569,6,5.383,1.00344833352315,0.655472912066617,7.01664509609236,16.0027698345835,1,1,7,5,0,0.3,2.02130521616868e-05
"",0.3,2.932083,1.953569,6,5.383,0.954150560421371,0.596988513839904,7.05759049254107,22.5450636928074,1,1,7,5,0,0.3,2.28727678360644e-05
"",0.3,2.932083,1.953569,6,5.383,0.959666069440034,0.730367190883519,7.04148464516218,7.06751863762481,1,1,7,5,0,0.3,2.38441132045788e-05
"",0.3,2.932083,1.953569,6,5.383,0.95894603088947,0.596074826702088,7.07218579483172,22.8588143567725,1,1,7,5,0,0.3,2.28709472733654e-05
"",0.3,2.932083,1.953569,6,5.383,1.01279401452688,0.68825479938326,6.96553246305004,22.1338174504285,1,1,7,5,0,0.3,1.57690261232781e-05
"",0.3,2.932083,1.953569,6,5.383,1.01004611133399,0.70687164003276,7.00380936595557,30.8963780520393,1,1,7,5,0,0.3,1.54338563790208e-05
"",0.3,2.932083,1.953569,6,5.383,1.00996734239905,0.695575488555615,7.01075807479533,25.6867912800975,1,1,7,5,0,0.3,1.57792552488915e-05
"",0.3,2.932083,1.953569,6,5.383,1.00000273737724,0.596881051308296,7.01802083215459,24.9416727789005,1,1,7,5,0,0.3,2.25834519439457e-05
"",0.3,2.932083,1.953569,6,5.383,1.00976686435337,0.723619596279779,7.01319485013419,25.7109319894408,1,1,7,5,0,0.3,1.50878373076307e-05
"",0.3,2.932083,1.953569,6,5.383,0.997455632428628,0.618847011143718,7.00000630382679,21.656416646554,1,1,7,5,0,0.3,2.22938184008737e-05
"",0.3,2.932083,1.953569,6,5.383,1.0017265054114,0.639403783742697,7.00921869104898,22.0621214895351,1,1,7,5,0,0.3,2.12326229833144e-05
"",0.3,2.932083,1.953569,6,5.383,1.01001046473885,0.768915807869073,7.03952729331807,10.5086187576358,1,1,7,5,0,0.3,1.47352808205898e-05
"",0.3,2.932083,1.953569,6,5.383,0.956052393330228,0.704200531306196,7.05627037332453,7.16114849132461,1,1,7,5,0,0.3,2.37273988485028e-05
"",0.3,2.932083,1.953569,6,5.383,0.971040181821353,0.752550816015154,7.00184672288346,7,1,1,7,5,0,0.3,2.37517121016744e-05
"",0.3,2.932083,1.953569,6,5.383,1.00891974238844,0.722968811282468,7.02683766398323,25.6751123557552,1,1,7,5,0,0.3,1.51677564524223e-05
"",0.3,2.932083,1.953569,6,5.383,1.01837448295637,0.620043419868907,6.90749710357542,28.995874911615,1,1,7,5,0,0.3,1.81458872219969e-05
"",0.3,2.932083,1.953569,6,5.383,1.01006115675703,0.749056707560868,7.02147674095403,8.26758165650745,1,1,7,5,0,0.3,1.46513039925694e-05
"",0.3,2.932083,1.953569,6,5.383,0.971584355600726,0.595507284304406,7.01759012196815,21.7908440872959,1,1,7,5,0,0.3,2.25521349038988e-05
"",0.3,2.932083,1.953569,6,5.383,1.00967553476606,0.662959980482146,6.97232002160432,26.3387105653276,1,1,7,5,0,0.3,1.78413592087621e-05
"",0.3,2.932083,1.953569,6,5.383,1.01143851647978,0.733628714964953,7.00444072562512,22.902958401344,1,1,7,5,0,0.3,1.46307279196379e-05
"",0.3,2.932083,1.953569,6,5.383,0.965260621935489,0.596406437826014,7.04262943960143,22.6803111233159,1,1,7,5,0,0.3,2.27003796890083e-05
"",0.3,2.932083,1.953569,6,5.383,0.953800480957771,0.597277433421294,7.09590509105241,24.7041761262498,1,1,7,5,0,0.3,2.3006936678327e-05
"",0.3,2.932083,1.953569,6,5.383,1.00953691571118,0.716980442203481,7.00530389367325,8.61520674140868,1,1,7,5,0,0.3,1.56688408478845e-05
"",0.3,2.932083,1.953569,6,5.383,1.0106968225215,0.747157309834663,7.02155556971266,25.3553675096072,1,1,7,5,0,0.3,1.45518942383682e-05
"",0.3,2.932083,1.953569,6,5.383,0.957492425617887,0.595930016935449,7.08331150409264,23.7968523838609,1,1,7,5,0,0.3,2.29353944184662e-05
"",0.3,2.932083,1.953569,6,5.383,0.973723754817006,0.595257872171633,7.01573566587973,22.6786561149962,1,1,7,5,0,0.3,2.25385468512672e-05
"",0.3,2.932083,1.953569,6,5.383,0.94833131436806,0.727616480691172,7.05765761213944,7.07313728464459,1,1,7,5,0,0.3,2.40117434046246e-05
"",0.3,2.932083,1.953569,6,5.383,0.952278947711071,0.744715110386294,7.07099382881776,7.01738915035179,1,1,7,5,0,0.3,2.41872536702699e-05
"",0.3,2.932083,1.953569,6,5.383,0.970325977448275,0.70506180489525,7.00693535355073,7.1538156782906,1,1,7,5,0,0.3,2.34052289967628e-05
"",0.3,2.932083,1.953569,6,5.383,0.952396141856567,0.729033501678052,7.08150807791253,7.09034426972745,1,1,7,5,0,0.3,2.40973302004043e-05
"",0.3,2.932083,1.953569,6,5.383,1.00191567801587,0.684060919481278,7.03448450995209,7.95732928106653,1,1,7,5,0,0.3,2.09392650889093e-05
