KAach,KEach,DVach,EC50ach,m2max,chemax,IC50m2,IC50che,KAunk,KEunk,DVunk,EC50unk,MAXunk,test_freq,SS,
0.1,1.898420821,1.665142585,5.984541611,5.383,0,0,7,7,1,1,7,5,0,0.10327141,8.23E-07
0.1,1.966514452,1.598587514,5.999949905,5.383,0,0,7,7,1,1,7,5,0,0.10327141,8.23E-07
0.1,2.005136937,1.617995365,6,5.383,0,0,7,7,1,1,7,5,0,0.103159011,8.24E-07
0.1,1.955648567,1.592862924,6,5.383,0,0,7,7,1,1,7,5,0,0.103304567,8.22E-07
0.1,1.868539598,1.55014148,6,5.383,0,0,7,7,1,1,7,5,0,0.10349694,8.29E-07
0.1,1.945185574,1.588774631,6,5.383,0,0,7,7,1,1,7,5,0,0.1033144,8.24E-07
0.1,1.944233551,1.589287604,6,5.383,0,0,7,7,1,1,7,5,0,0.1033144,8.24E-07
0.1,1.95411098,1.655338727,5.990321191,5.383,0,0,7,7,1,1,7,5,0,0.10317241,8.24E-07
0.1,2.003275459,1.616637317,6,5.383,0,0,7,7,1,1,7,5,0,0.10317241,8.24E-07
0.1,1.957346474,1.592551193,6,5.383,0,0,7,7,1,1,7,5,0,0.103281903,8.23E-07
0.1,1.924267211,1.574293807,6,5.383,0,0,7,7,1,1,7,5,0,0.10335116,8.23E-07
0.1,1.947708744,1.592209853,6,5.383,0,0,7,7,1,1,7,5,0,0.103308426,8.24E-07
0.1,2.031530899,1.635649852,5.999627787,5.383,0,0,7,7,1,1,7,5,0,0.103083931,8.27E-07
0.1,4.495350642,0.632037894,6.27247946,5.383,0,0,7,7,1,1,7,5,0,0.103204164,8.86E-07
0.1,1.987486795,1.608647071,6,5.383,0,0,7,7,1,1,7,5,0,0.103204164,8.24E-07
0.1,2.084708084,1.507881803,6.02334387,5.383,0,0,7,7,1,1,7,5,0,0.103260387,8.23E-07
0.1,1.935403706,1.612666266,5.995214154,5.383,0,0,7,7,1,1,7,5,0,0.103285319,8.23E-07
0.1,1.56532939,1.414829169,6,5.383,0,0,7,7,1,1,7,5,0,0.104194626,9.21E-07
0.1,4.230258669,0.679940799,6.256605073,5.383,0,0,7,7,1,1,7,5,0,0.103196216,8.74E-07
0.1,1.993254694,1.613128819,6,5.383,0,0,7,7,1,1,7,5,0,0.103196216,8.23E-07
0.1,1.988544918,1.564255289,6.007797506,5.383,0,0,7,7,1,1,7,5,0,0.103278301,8.23E-07
0.1,1.88724564,1.559615359,6,5.383,0,0,7,7,1,1,7,5,0,0.103451592,8.27E-07
0.1,1.509600561,1.434498922,5.990816578,5.383,0,0,7,7,1,1,7,5,0,0.104257098,9.34E-07
0.1,1.900841109,1.562212699,6,5.383,0,0,7,7,1,1,7,5,0,0.103423776,8.26E-07
0.1,2.555530796,1.166735013,6.109394053,5.383,0,0,7,7,1,1,7,5,0,0.103362761,8.30E-07
0.1,1.855137172,1.660159607,5.981289282,5.383,0,0,7,7,1,1,7,5,0,0.103331778,8.23E-07
0.1,1.926555026,1.583189318,6,5.383,0,0,7,7,1,1,7,5,0,0.10335273,8.23E-07
0.1,1.999063063,1.61546901,6,5.383,0,0,7,7,1,1,7,5,0,0.103198865,8.23E-07
0.1,1.962804936,1.588373523,6.001360467,5.383,0,0,7,7,1,1,7,5,0,0.103290459,8.22E-07
0.1,4.933267747,0.618588568,6.283631046,5.383,0,0,7,7,1,1,7,5,0,0.10295679,9.02E-07
0.1,1.796904972,1.600898926,5.986274745,5.383,0,0,7,7,1,1,7,5,0,0.103497802,8.29E-07
0.1,1.873034146,1.553169805,6,5.383,0,0,7,7,1,1,7,5,0,0.103487396,8.29E-07
0.1,1.959784864,1.592572881,6,5.383,0,0,7,7,1,1,7,5,0,0.103286147,8.23E-07
0.1,1.945363581,1.587980154,6,5.383,0,0,7,7,1,1,7,5,0,0.103336606,8.23E-07
0.1,1.935730787,1.583311107,6,5.383,0,0,7,7,1,1,7,5,0,0.103336606,8.23E-07
0.1,2.289169569,1.325468858,6.067068264,5.383,0,0,7,7,1,1,7,5,0,0.103336606,8.26E-07
0.1,2.228292758,1.367443575,6.056141754,5.383,0,0,7,7,1,1,7,5,0,0.103336606,8.25E-07
0.1,2.03242856,1.619036396,6,5.383,0,0,7,7,1,1,7,5,0,0.103154243,8.25E-07
0.1,1.995564606,1.612963035,6,5.383,0,0,7,7,1,1,7,5,0,0.10319119,8.24E-07
