,Group.1,Group.2,KAach,KEach,DVach,freq,test_freq,SS,tissue,var
68,15,7,0.177657503,1.521863768,6.127382595,15,15,2.24E-05,7,median
69,30,1,30.17483598,0.279080249,7.603323503,30,30,0.000168681,1,median
70,30,2,0.41366089,1.749570874,6.243524191,30,30,0.000531066,2,median
71,30,5,0.477711107,1.894859941,6.093542284,30,30,0.003429875,5,median
72,30,7,0.168882907,1.696264377,6.070384989,30,30,9.28E-05,7,median
73,0.1,1,0.331442328,0.101250643,0.02561193,0,0.000201713,7.25E-08,0,sd
74,0.1,2,0.568181776,0.260443028,0.070442077,0,0.00021174,2.35E-08,0,sd
75,0.1,5,0.528752502,0.165505752,0.043396229,0,0.000152908,3.64E-08,0,sd
76,0.1,7,0.392604076,0.060833729,0.016947292,0,0.00018909,5.86E-08,0,sd
77,0.3,1,4.628622795,0.131734123,0.119766124,0,0,2.29E-07,0,sd
78,0.3,2,10.43953501,0.355359907,0.435787549,0,0,1.55E-06,0,sd
79,0.3,5,0.059003227,0.117303895,0.100523639,0,0,1.20E-07,0,sd
80,0.3,7,0.009415106,0.032202056,0.02181603,0,0,4.35E-08,0,sd
81,0.7,1,21.38476194,0.499765963,0.409176986,0,0,8.68E-06,0,sd
82,0.7,2,19.0777586,0.525305094,0.467864155,0,0,1.17E-05,0,sd
83,0.7,5,14.18592932,0.551654,0.519709602,0,0,4.54E-06,0,sd
84,0.7,7,0.038747926,0.05281034,0.036206287,0,0,8.23E-09,0,sd
85,1,1,3.244263605,0.480784139,0.457223821,0,0,4.73E-05,0,sd
86,1,2,18.42744785,0.655165013,0.503508533,0,0,1.74E-05,0,sd
87,1,5,7.252653947,0.521055991,0.425045208,0,0,2.86E-05,0,sd
88,1,7,0.027816257,0.052494434,0.041598231,0,0,4.48E-09,0,sd
89,3,1,13.33297922,0.517531053,0.345608191,0,0,0.000111347,0,sd
90,3,2,13.38423983,0.480755978,0.384300558,0,0,4.93E-05,0,sd
91,3,5,13.60884734,0.608184586,0.416531529,0,0,0.000245922,0,sd
92,3,7,5.652416499,0.447202848,0.25803582,0,0,0.000232963,0,sd
93,7,1,16.10359779,0.485863606,0.458556059,0,0,0.000269112,0,sd
94,7,2,12.94855655,0.668084151,0.380396749,0,0,0.000248433,0,sd
95,7,5,15.65384943,0.900713871,0.443897504,0,0,0.00029983,0,sd
96,7,7,0.138103804,0.580889813,0.268505689,0,0,5.27E-05,0,sd
97,10,1,12.8886746,0.732919507,0.430456955,0,0,0.000281188,0,sd
98,10,2,12.36636375,0.586904275,0.363990803,0,0,0.000200325,0,sd
99,10,5,8.232825512,0.959526799,0.372245355,0,0,0.001442978,0,sd
100,10,7,0.942531668,0.822599215,0.342589175,0,0,0.000107174,0,sd
101,15,1,15.99845255,0.944355175,0.36971694,0,0,0.000934278,0,sd
102,15,2,9.893475944,1.197968374,0.418020946,0,0,0.001010006,0,sd
103,15,5,10.20414703,1.015801707,0.380517508,0,0,0.001518869,0,sd
104,15,7,0.123533629,0.755801266,0.288612669,0,0,0.00016248,0,sd
105,30,1,18.00579876,0.609098377,0.446575637,0,0,0.000551906,0,sd
106,30,2,4.153871139,0.966643173,0.277285917,0,0,9.25E-06,0,sd
107,30,5,6.297832616,0.720036275,0.267791615,0,0,3.14E-05,0,sd
108,30,7,0.092189639,0.584880438,0.239834054,0,0,5.08E-06,0,sd
