KAach,KEach,DVach,EC50ach,m2max,chemax,IC50m2,IC50che,KAunk,KEunk,DVunk,EC50unk,MAXunk,test_freq,SS,
0.3,0.295995737,0.777667769,6,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.296342229,0.775504863,6,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.296918141,0.768769498,6.004616265,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.334178774,0.594175935,6.116900999,5.383,0,0,7,7,1,1,7,5,0,0.3,1.87E-05
0.3,0.29976329,0.761908997,6.008633721,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.297685828,0.776868965,6,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.297498869,0.772406058,6.002886143,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.295874258,0.777417442,6,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.29616538,0.777235435,6,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.312150468,0.688916322,6.052657018,5.383,0,0,7,7,1,1,7,5,0,0.3,1.89E-05
0.3,0.296478476,0.77470278,6,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.295062989,0.777000278,6,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.344988906,0.556761218,6.145981569,5.383,0,0,7,7,1,1,7,5,0,0.3,1.86E-05
0.3,0.32962682,0.6114858,6.103741467,5.383,0,0,7,7,1,1,7,5,0,0.3,1.87E-05
0.3,0.296222902,0.773097379,6.005758699,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.50476769,0.313784375,6.395423657,5.383,0,0,7,7,1,1,7,5,0,0.3,1.86E-05
0.3,0.295898734,0.77650529,6,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.307296583,0.716527452,6.036762155,5.383,0,0,7,7,1,1,7,5,0,0.3,1.89E-05
0.3,0.293405539,0.789441954,5.993358013,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.295356263,0.778100238,6,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.297180545,0.773786221,6.002896294,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.297410374,0.777628145,6,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
0.3,0.296411306,0.77771355,6,5.383,0,0,7,7,1,1,7,5,0,0.3,1.90E-05
