KAach,KEach,DVach,EC50ach,m2max,chemax,IC50m2,IC50che,KAunk,KEunk,DVunk,EC50unk,MAXunk,test_freq,SS,
0.3,1.255641812,0.048163956,7.19236914,5.383,0,0,7,7,1,1,7,5,0,0.3,7.03E-06
0.3,0.977619516,0.073195766,7.085471793,5.383,0,0,7,7,1,1,7,5,0,0.3,5.77E-06
0.3,0.23010564,0.538019278,6.250505815,5.383,0,0,7,7,1,1,7,5,0,0.3,3.94E-06
0.3,0.792336496,0.098797107,6.973150497,5.383,0,0,7,7,1,1,7,5,0,0.3,4.95E-06
0.3,0.18201062,0.938349173,6.002200083,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.183874582,0.932312635,6.007013689,5.383,0,0,7,7,1,1,7,5,0,0.3,4.23E-06
0.3,0.182416793,0.944638998,6,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.182930298,0.944579545,6,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.183953484,0.948165951,6,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.18253027,0.933139374,6.005400633,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.183625374,0.921252357,6.011181075,5.383,0,0,7,7,1,1,7,5,0,0.3,4.23E-06
0.3,0.182936722,0.946306045,6,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.182889597,0.940445041,6.00290758,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.182927608,0.944055541,6,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.184227572,0.947220627,6,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.182439502,0.946548061,6,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.183132805,0.94511421,6,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.454727213,0.194877667,6.692342361,5.383,0,0,7,7,1,1,7,5,0,0.3,3.96E-06
0.3,0.809394432,0.096069336,6.981168034,5.383,0,0,7,7,1,1,7,5,0,0.3,5.00E-06
0.3,0.192746839,0.827429876,6.058573005,5.383,0,0,7,7,1,1,7,5,0,0.3,4.16E-06
0.3,48.08080391,0.027678703,7.386316422,5.383,0,0,7,7,1,1,7,5,0,0.3,9.16E-06
0.3,0.184591575,0.94629103,6,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.183138863,0.946189995,6,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.182371317,0.94547218,6,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.182939518,0.945204467,6.000455842,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.327046039,0.294880315,6.513279038,5.383,0,0,7,7,1,1,7,5,0,0.3,3.83E-06
0.3,0.256723802,0.438621532,6.341407078,5.383,0,0,7,7,1,1,7,5,0,0.3,3.87E-06
0.3,0.182912902,0.945975337,6,5.383,0,0,7,7,1,1,7,5,0,0.3,4.24E-06
0.3,0.315581553,0.31484205,6.486687772,5.383,0,0,7,7,1,1,7,5,0,0.3,3.83E-06
0.3,0.359812831,0.256290911,6.572618263,5.383,0,0,7,7,1,1,7,5,0,0.3,3.85E-06
0.3,36.79611824,0.055389223,7.214788067,5.383,0,0,7,7,1,1,7,5,0,0.3,7.15E-06
0.3,0.188760753,0.880178783,6.033728886,5.383,0,0,7,7,1,1,7,5,0,0.3,4.19E-06
