"","Group.1","Group.2","m2max","chemax","IC50m2","IC50che","freq","SS","tissue","var"
"1",0.3,1,0.985087227289189,0.289313508634851,7.03345887731146,5.62337667399583,0.3,0.00239039085753911,1,"mean"
"2",0.3,2,0.970268652284438,0.519256012984414,6.89131877212542,7.60095117711925,0.3,3.8451595593572e-06,2,"mean"
"3",0.3,5,0.85620035109153,0.549351858185453,6.07773788007416,11.5439473862723,0.3,0.00204592196998773,5,"mean"
"4",0.3,7,0.998604527206095,0.603075566304106,7.05137431786294,13.4050557756225,0.3,0.00238721521688652,7,"mean"
"5",0.7,1,0.998324242984887,0.576807495452015,6.8068643152734,10.2987272401022,0.7,0.00217331331427136,1,"mean"
"6",0.7,2,0.841449291541486,1.16566633230594,6.4540311812736,9.27332023224306,0.7,6.31481314556115e-06,2,"mean"
"7",0.7,5,0.90911915232555,0.0478509645734889,8.10507685683987,0.562676716242433,0.7,0.00110420045707255,5,"mean"
"8",0.7,7,0.930422182278293,0.484932119297835,6.82063502485872,10.2350200492236,0.7,0.0017800858150309,7,"mean"
"9",1,1,0.794537742324476,0.0565994297180976,7.29960507252983,1.59353365587135,1,0.00246481555208494,1,"mean"
"10",1,2,0.977778675111955,0.812466957127194,6.38863325895433,6.96572295273981,1,8.07473967828099e-06,2,"mean"
"11",1,5,0.0203945627720199,0.622708629710973,0.145264714994289,6.37251874045143,1,0.00308026193354731,5,"mean"
"12",1,7,0.905712477907887,0.486766590277622,7.07191631230928,9.92905805335806,1,0.00192883610661775,7,"mean"
"13",3,1,1,0.664113308260052,7.05322927814097,21.1220546818457,3,0.00900408454366722,1,"mean"
"14",3,2,0.999985474971155,1.37442886847228,6.94441708716927,16.4793247050473,3,0.00012341059843808,2,"mean"
"15",3,5,1,0.597677114360292,6.67087336176376,16.0981745467394,3,0.00788186212885511,5,"mean"
"16",3,7,1,0.540434582668891,6.34566911975886,7.71852270563677,3,0.00555446208265911,7,"mean"
"17",7,1,1,0.748204996184345,6.96136429220741,19.5052378469259,7,0.00835826261139667,1,"mean"
"18",7,2,1,1.08030474167912,6.77836319196215,15.3656089597767,7,0.00107322387291154,2,"mean"
"19",7,5,1,0.537085224603458,6.2983069293701,14.7384692211336,7,0.0158241122578707,5,"mean"
"20",7,7,0.994017741770151,0.0429157417002102,6.27920808769757,1.84455145088718,7,0.00718964184589671,7,"mean"
"21",10,1,0.999977034564026,0.748346360520637,6.88404007290585,19.1514842882345,10,0.00919139377217536,1,"mean"
"22",10,2,0.999853106639217,0.625324015696118,5.94120065493758,9.48906414303555,10,0.000370079740425942,2,"mean"
"23",10,5,1,0.5540242058705,5.99069120410245,6.87881648109507,10,0.0231813861303019,5,"mean"
"24",10,7,0.995590406384723,0.0512350413077433,6.24815758323263,1.62947893517745,10,0.00849802760560575,7,"mean"
"25",15,1,1,0.661152941908223,6.58839502652975,19.1591675652851,15,0.0281910525061837,1,"mean"
"26",15,2,0.999106465118332,0.936034555599085,5.64236375079274,5.82112666002014,15,0.000408096326459583,2,"mean"
"27",15,5,0.941878041770216,0.0667992057960696,6.79443411374621,0.632543233344688,15,0.0630752944911522,5,"mean"
"28",15,7,0.994605727467269,0.0204470825238702,6.13454833485972,1.79547214619444,15,0.0121711263352431,7,"mean"
"29",30,1,0.999989222865609,0.743476174927292,6.71237568001498,20.5611619293744,30,0.0114957758580231,1,"mean"
"30",30,2,0.999431831749759,1.02866047559297,5.22954515191336,5.39282960509063,30,0.000733082553856815,2,"mean"
"31",30,5,0.916865391971382,0.00501696311754212,20.8634373711086,0.0666596464239275,30,0.0599402626831263,5,"mean"
"32",30,7,0.98371634341487,0.00062695269325476,6.48269427200813,0.00823923969894382,30,0.0142499349733489,7,"mean"
"33",0.3,1,1,0.0694958024774633,7.02757309238334,5.21199357059835,0.3,0.00240686145721939,1,"median"
