KAach,KEach,DVach,EC50ach,m2max,chemax,IC50m2,IC50che,KAunk,KEunk,DVunk,EC50unk,MAXunk,test_freq,SS,
0.1,3.183586448,1.014540264,6,5.383,0,0,7,7,1,1,7,5,0,0.099797138,3.65E-08
0.1,3.140368377,1.036892011,5.993206141,5.383,0,0,7,7,1,1,7,5,0,0.099797138,3.60E-08
0.1,3.184090392,1.014183894,6,5.383,0,0,7,7,1,1,7,5,0,0.099797138,3.65E-08
0.1,2.463723492,1.28056831,5.919045447,5.383,0,0,7,7,1,1,7,5,0,0.099830133,3.37E-08
0.1,3.100252332,1.008418108,5.999431881,5.383,0,0,7,7,1,1,7,5,0,0.099830133,3.66E-08
0.1,2.383133522,0.981802959,5.996253723,5.383,0,0,7,7,1,1,7,5,0,0.100080535,6.27E-08
0.1,2.442414751,0.97632676,5.996437832,5.383,0,0,7,7,1,1,7,5,0,0.100077673,6.15E-08
0.1,2.781683,0.983455722,6,5.383,0,0,7,7,1,1,7,5,0,0.099955171,4.38E-08
0.1,2.825794719,0.987017098,6,5.383,0,0,7,7,1,1,7,5,0,0.099938285,4.22E-08
0.1,2.589818348,1.079642471,5.969480682,5.383,0,0,7,7,1,1,7,5,0,0.099938285,3.98E-08
0.1,3.092498331,0.987748656,6,5.383,0,0,7,7,1,1,7,5,0,0.099825045,3.71E-08
0.1,3.086462073,1.015920612,5.996928642,5.383,0,0,7,7,1,1,7,5,0,0.099825045,3.64E-08
0.1,3.114260014,1.009779586,6,5.383,0,0,7,7,1,1,7,5,0,0.099825045,3.66E-08
0.1,3.113707196,1.011152778,6,5.383,0,0,7,7,1,1,7,5,0,0.099825045,3.66E-08
0.1,2.910535714,0.993274387,6,5.383,0,0,7,7,1,1,7,5,0,0.099906466,3.97E-08
0.1,2.9441213,0.994863866,6,5.383,0,0,7,7,1,1,7,5,0,0.099895359,3.90E-08
0.1,2.944227535,0.99494893,6,5.383,0,0,7,7,1,1,7,5,0,0.099895359,3.90E-08
0.1,3.191920072,1.013107584,6,5.383,0,0,7,7,1,1,7,5,0,0.099792973,3.65E-08
0.1,3.186934839,1.016882956,5.999275053,5.383,0,0,7,7,1,1,7,5,0,0.099792973,3.64E-08
0.1,3.18964633,1.015742918,6,5.383,0,0,7,7,1,1,7,5,0,0.099792973,3.65E-08
0.1,3.191670958,1.014876163,6,5.383,0,0,7,7,1,1,7,5,0,0.099792973,3.65E-08
0.1,2.977927076,1.091222126,5.976794688,5.383,0,0,7,7,1,1,7,5,0,0.099792973,3.51E-08
0.1,3.160636377,1.026191089,5.99657028,5.383,0,0,7,7,1,1,7,5,0,0.099792973,3.62E-08
0.1,2.727703262,0.981738549,6,5.383,0,0,7,7,1,1,7,5,0,0.099974844,4.60E-08
0.1,3.282134116,1.027242031,6,5.383,0,0,7,7,1,1,7,5,0,0.099740539,3.74E-08
0.1,3.231520487,1.045631123,5.995482515,5.383,0,0,7,7,1,1,7,5,0,0.099740539,3.71E-08
0.1,3.282834589,1.026426542,6,5.383,0,0,7,7,1,1,7,5,0,0.099740539,3.74E-08
0.1,3.469809057,0.966996371,6.017312995,5.383,0,0,7,7,1,1,7,5,0,0.099740539,3.90E-08
0.1,3.186092345,1.010428016,6,5.383,0,0,7,7,1,1,7,5,0,0.099794918,3.65E-08
0.1,2.994250429,0.992917715,6,5.383,0,0,7,7,1,1,7,5,0,0.099875057,3.80E-08
0.1,1.227335037,0.866704738,6,5.383,0,0,7,7,1,1,7,5,0,0.101132408,5.62E-07
0.1,3.197190037,1.019042255,6,5.383,0,0,7,7,1,1,7,5,0,0.099796456,3.65E-08
0.1,3.18686405,1.014142714,6,5.383,0,0,7,7,1,1,7,5,0,0.099796456,3.65E-08
0.1,3.005288692,1.078422482,5.980369961,5.383,0,0,7,7,1,1,7,5,0,0.099796456,3.52E-08
0.1,3.184068201,1.014513691,6,5.383,0,0,7,7,1,1,7,5,0,0.099796456,3.65E-08
0.1,3.178882174,1.015207452,5.999110904,5.383,0,0,7,7,1,1,7,5,0,0.099796456,3.64E-08
0.1,3.130283632,1.010185838,6,5.383,0,0,7,7,1,1,7,5,0,0.099817601,3.66E-08
0.1,3.129688229,1.010847483,6,5.383,0,0,7,7,1,1,7,5,0,0.099817601,3.66E-08
0.1,3.159085759,1.000522362,6.003138959,5.383,0,0,7,7,1,1,7,5,0,0.099817601,3.68E-08
0.1,3.129720554,1.010353011,6,5.383,0,0,7,7,1,1,7,5,0,0.099817601,3.66E-08
0.1,2.716406012,1.170449496,5.95129519,5.383,0,0,7,7,1,1,7,5,0,0.099817601,3.41E-08
0.1,3.112428776,1.015975957,5.998238779,5.383,0,0,7,7,1,1,7,5,0,0.099817601,3.64E-08
0.1,1.972404407,0.93569654,6,5.383,0,0,7,7,1,1,7,5,0,0.100328078,1.35E-07
0.1,2.453678612,0.970351413,5.996089526,5.383,0,0,7,7,1,1,7,5,0,0.100080704,6.25E-08
0.1,3.092982038,1.012913445,5.999003779,5.383,0,0,7,7,1,1,7,5,0,0.099829412,3.66E-08
0.1,3.038157515,1.031295087,5.992590448,5.383,0,0,7,7,1,1,7,5,0,0.099829412,3.61E-08
0.1,3.104289325,1.00773981,6,5.383,0,0,7,7,1,1,7,5,0,0.099829412,3.67E-08
0.1,3.106272469,1.007516605,6,5.383,0,0,7,7,1,1,7,5,0,0.099829412,3.67E-08
0.1,1.76961363,0.922221999,6,5.383,0,0,7,7,1,1,7,5,0,0.100468728,1.93E-07
0.1,2.640342972,0.97768307,6,5.383,0,0,7,7,1,1,7,5,0,0.100007592,5.04E-08
0.1,3.103724776,1.003845838,6,5.383,0,0,7,7,1,1,7,5,0,0.099830774,3.67E-08
0.1,3.056796714,1.029116945,5.995712542,5.383,0,0,7,7,1,1,7,5,0,0.099830774,3.64E-08
0.1,3.077060995,1.018219136,5.997202368,5.383,0,0,7,7,1,1,7,5,0,0.099830774,3.65E-08
0.1,3.102812345,1.009331102,6,5.383,0,0,7,7,1,1,7,5,0,0.099830774,3.67E-08
0.1,3.102100188,1.007910487,6,5.383,0,0,7,7,1,1,7,5,0,0.099830774,3.67E-08
0.1,2.552605221,1.233357985,5.932181145,5.383,0,0,7,7,1,1,7,5,0,0.099830774,3.38E-08
0.1,3.075708482,1.015213489,5.997163605,5.383,0,0,7,7,1,1,7,5,0,0.099830774,3.65E-08
0.1,3.104051161,1.008464066,6,5.383,0,0,7,7,1,1,7,5,0,0.099830774,3.67E-08
0.1,3.082261992,1.022886893,5.997113572,5.383,0,0,7,7,1,1,7,5,0,0.099828987,3.65E-08
0.1,2.587293017,1.216823381,5.937144272,5.383,0,0,7,7,1,1,7,5,0,0.099828987,3.39E-08
0.1,3.085106863,1.017927401,5.99675058,5.383,0,0,7,7,1,1,7,5,0,0.099823967,3.64E-08
0.1,1.948193273,0.927139124,6,5.383,0,0,7,7,1,1,7,5,0,0.100340271,1.39E-07
0.1,2.714649249,0.979876833,6,5.383,0,0,7,7,1,1,7,5,0,0.099979217,4.65E-08
0.1,2.717339174,0.980783302,6,5.383,0,0,7,7,1,1,7,5,0,0.099979217,4.65E-08
0.1,2.710414857,0.981311673,5.998857197,5.383,0,0,7,7,1,1,7,5,0,0.099979217,4.64E-08
0.1,3.138981989,1.010499258,6,5.383,0,0,7,7,1,1,7,5,0,0.099813182,3.66E-08
0.1,3.091162636,1.027095426,5.99481514,5.383,0,0,7,7,1,1,7,5,0,0.099813182,3.62E-08
