Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,278.141998,284.894989,291.608978,303.359009,296.035004,294.66098,300.345978,299.735016,307.822998
0.02,279.363007,285.963013,292.905975,304.007996,297.255005,296.302002,301.223022,301.681,309.044006
0.04,280.050018,287.832001,294.470001,305.075989,298.400024,298.209015,302.596008,303.511993,310.721985
0.06,281.576019,289.397003,297.065002,306.296997,299.239014,299.659027,304.580017,305.419006,312.209991
0.08,283.292999,290.884003,298.858002,308.014008,301.223022,301.604004,306.221008,307.326996,314.156006
0.1,284.971008,293.25,300.917999,310.225983,303.054016,304.199005,308.815002,309.653992,316.483002
0.12,286.993011,295.958008,303.436005,312.134003,304.503998,306.755005,311.06601,312.096008,319.115021
0.14,289.014984,298.018005,305.763,314.040985,306.984009,309.691986,312.630005,314.84198,322.320007
0.16,291.112976,300.841003,308.51001,316.63501,309.540009,312.247986,315.720001,317.817993,325.677002
0.18,293.975006,303.665009,311.179993,319.458984,311.904999,314.307983,318.772003,320.603027,328.882019
0.2,296.416016,305.725006,313.431,322.167023,314.269989,316.825989,321.480988,324.113007,331.589996
0.22,298.590973,308.623993,315.757996,324.609009,316.597015,319.801971,324.722992,327.699005,334.756989
0.24,301.261017,311.333008,318.428986,327.316986,319.382019,322.968018,327.774994,331.171021,338.685974
0.26,303.970001,313.355011,321.175018,330.179016,322.434021,326.402008,330.330994,334.337006,342.386993
0.28,306.105988,316.062988,323.884003,332.696991,325.143005,329.109985,333.841003,337.160004,345.705994
0.3,308.815002,318.695984,326.440002,335.252991,327.966003,331.894989,337.04599,340.211975,349.406006
0.32,311.371002,321.213013,328.653015,338.418976,330.751007,334.833008,339.487,343.378021,352.763
0.34,312.705994,323.425995,330.597992,340.555023,333.536011,337.464996,342.424988,346.391998,356.119995
0.36,314.765991,325.714996,332.924988,342.576996,335.786987,340.173981,345.362,349.139008,359.629974
0.38,316.940979,327.85202,334.717987,345.095001,338.380981,342.615021,347.917999,352.343994,363.063995
0.4,319.076996,329.721008,336.472992,347.460999,340.593994,345.324005,350.817993,354.480011,366.001007
0.42,321.328003,331.589996,338.304993,349.177002,342.843994,347.421997,353.411987,357.151001,369.129974
0.44,323.692993,333.612,339.982971,351.007996,345.209991,349.673004,356.119995,360.278992,372.449005
0.46,324.951996,335.557983,341.699982,352.533997,347.07901,352.076996,358.561981,362.987,376.072998
0.48,326.669006,336.778992,343.149994,353.830994,348.834015,354.098999,361.233002,365.238007,379.125
0.5,328.842987,338.53302,344.179993,355.738983,351.085022,355.815002,363.712006,368.02301,382.139008
0.52,329.912018,339.220001,345.324005,356.807007,352.496002,358.065979,366.153992,370.77002,385.114014
0.54,331.743011,340.173981,346.201996,357.875,353.90799,360.164001,368.595978,373.13501,388.013977
0.56,332.924988,341.661987,346.850006,358.752991,355.929993,362.338989,370.656006,375.806,390.417023
0.58,333.687988,342.882996,347.460999,359.934998,356.882996,364.208008,372.678009,377.865997,393.584015
0.6,334.412994,343.302002,348.338013,360.698029,358.371002,366.115997,375.080994,379.583008,396.407013
0.62,334.985992,343.68399,348.985992,361.30899,360.392975,367.680023,377.40799,382.444,398.580994
0.64,336.243988,344.675995,349.330017,362.071991,360.54599,369.511017,379.276978,385,401.480988
0.66,337.121979,344.828003,349.597015,362.300995,361.804993,371.380005,381.451996,387.098022,404.074982
0.68,337.998993,345.095001,349.788025,362.263,363.559998,372.639008,383.816986,389.463013,406.477997
