Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,316.164001,315.286011,306.320984,304.108002,310.478973,311.738007,311.815002,300.675018,306.09198
0.02,317.117981,316.888977,309.41098,307.312988,312.348999,313.454987,312.462982,304.718994,307.312988
0.04,319.292023,319.139008,312.386993,311.013,314.294006,315.820007,313.989014,310.289001,309.677979
0.06,321.809998,322.535004,316.469025,314.790009,317.460999,318.757996,315.896973,316.736023,312.119995
0.08,324.557007,326.388,321.009003,319.445007,321.313995,321.696014,318.109009,325.091003,315.401001
0.1,328.790985,330.278992,326.045013,324.824005,325.854004,325.053009,321.084991,334.17099,319.673981
0.12,333.712982,335.734985,332.300995,330.316986,330.54599,328.563019,324.67099,344.509003,324.403992
0.14,338.595978,340.846985,338.710999,336.078003,335.619995,332.415985,328.677002,356.031006,329.89801
0.16,344.280975,346.722015,345.120026,342.067993,341.800995,337.260986,333.330994,368.200989,336.154022
0.18,350.231995,352.825989,351.911011,348.401001,348.248016,341.723999,338.214996,381.096008,343.022003
0.2,356.222015,359.273987,359.005981,354.427979,354.656982,346.455017,342.830994,394.447998,350.575012
0.22,362.669006,365.797028,365.797028,360.53299,361.752991,351.528992,347.675995,407.494995,358.891998
0.24,369.498016,372.701996,372.701996,366.445984,368.963989,356.640991,352.825989,420.886017,367.285004
0.26,376.174011,379.378998,379.608002,372.741028,376.174011,361.485992,358.43399,433.894989,375.869019
0.28,382.697998,385.863983,385.825989,378.005005,383.156006,366.140991,364.042023,446.638,384.720001
0.3,389.488983,392.082977,392.082977,383.727997,390.213013,371.291016,369.649994,459.493988,393.265015
0.32,395.821991,397.920013,397.843018,388.992981,396.774994,375.983002,375.487,471.968994,401.811005
0.34,401.544006,403.184998,403.261017,393.608978,403.375,380.52301,381.47699,484.825989,410.928986
0.36,407.609985,408.868988,408.678009,398.110992,409.822998,384.911011,387.427979,497.186981,419.741974
0.38,413.217987,413.789978,413.217987,401.848999,415.660004,388.992981,392.502014,509.12796,428.973999
0.4,418.826019,418.024994,417.414978,405.549988,421.840027,392.845978,397.843018,520.802002,437.634003
0.42,423.632996,422.030975,421.153015,408.259003,427.181,396.279022,402.994019,531.97998,446.52301
0.44,428.019989,425.617004,424.166992,410.890991,432.140991,399.637024,407.571991,542.357056,454.993011
0.46,431.873993,428.553986,426.760986,413.217987,436.946991,402.574005,412.263977,552.427979,462.774994
0.48,435.307007,431.149017,428.822021,415.048981,441.105988,405.207001,416.765991,561.698975,469.985992
0.5,438.015991,433.589996,430.462006,416.346008,444.959015,407.723999,420.581024,570.93103,477.082001
0.52,441.029999,435.345001,431.64502,417.223999,448.507019,409.898987,424.205017,579.972961,483.682007
0.54,443.585999,436.451996,432.597992,417.757996,451.063019,411.424988,427.410004,588.098999,489.862
0.56,445.416992,437.100006,433.093994,418.101013,453.35199,412.797974,430.079987,595.729004,495.584015
0.58,447.019012,437.901001,433.209015,417.643005,455.183014,413.904999,432.179016,603.205994,500.810974
