Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,308.290985,315.843994,306.612,304.89502,308.443024,312.334015,317.598999,314.393982,312.601013
0.02,309.244019,316.987976,308.176025,306.192017,309.397003,313.403015,318.858002,316.226013,313.89801
0.04,310.160004,318.666992,309.855011,307.718018,311.114014,314.661011,320.154999,317.903992,315.958008
0.06,311.227997,320.039978,311.723999,309.09198,312.29599,315.730011,322.444,319.162994,318.362
0.08,312.373016,321.718994,313.020996,310.88501,313.364014,317.598999,324.733002,321.376007,320.306976
0.1,313.287994,323.893005,315.080994,312.449005,315.501007,319.583008,327.021973,324.04599,322.825012
0.12,314.96701,325.877014,317.52301,314.166016,317.865997,321.184998,329.463013,326.182007,325.83902
0.14,316.569,327.975006,319.888,316.148987,319.696991,323.549988,332.401001,328.509003,328.852997
0.16,318.132996,330.188019,322.252991,318.666992,322.023987,325.877014,335.109009,332.591003,331.713989
0.18,319.850006,332.286011,324.923004,320.84201,324.656006,328.852997,338.122986,335.718994,335.528992
0.2,321.794983,334.765991,327.632019,323.511993,327.060028,331.485016,341.250977,338.580994,339.419983
0.22,323.397003,337.054993,329.768005,326.068024,329.348999,334.07901,344.875,342.662018,342.929993
0.24,325.266998,339.381989,332.47699,328.319,332.057007,337.207001,347.964996,346.401001,347.050018
0.26,327.021973,341.632019,334.880005,330.722015,334.536987,340.030029,350.903015,349.453003,351.475006
0.28,328.700012,343.615997,337.092987,333.201996,337.283997,342.777008,354.449982,353.306,355.403992
0.3,330.149994,346.209991,339,335.337982,339.648987,345.752014,357.959991,357.463989,359.104004
0.32,332.095001,347.889008,341.174988,337.436005,341.708984,348.803986,361.241028,361.088013,363.263
0.34,333.621002,349.757996,343.119995,339.610992,344.303009,351.588989,364.445007,364.903015,367.916992
0.36,335.147003,351.39798,344.722015,341.518005,346.554016,354.220978,367.839996,369.213989,372.265991
0.38,336.367981,353.152985,346.554016,343.540009,348.652008,357.27301,370.854004,373.142975,376.118988
0.4,338.084991,354.640991,348.040985,345.408997,350.062988,359.82901,373.753021,376.385986,380.697021
0.42,339.076019,356.204987,349.14801,346.821014,352.16098,362.118011,376.958008,380.277008,384.968994
0.44,340.258972,357.350006,350.100983,348.423004,353.953979,364.597992,379.934021,384.130005,388.516998
0.46,341.136993,358.303009,351.321991,349.415009,355.098999,367.230011,382.412994,387.257996,392.293976
0.48,341.975983,359.562012,352.200012,350.329987,357.044006,369.824005,384.701996,390.576996,396.451996
0.5,342.777008,360.325012,352.847992,351.39798,358.380005,371.921997,387.333984,394.048981,400.342987
0.52,343.730988,360.707001,353.190979,351.70401,359.142975,373.676971,389.088989,396.833008,403.890991
0.54,344.074005,361.126007,353.648987,352.694977,360.249023,375.470001,391.110992,399.656006,407.134003
0.56,344.570007,361.622009,353.648987,353.306,361.355011,376.843994,393.28598,402.479004,410.261993
0.58,344.950989,361.508026,353.648987,353.572998,361.927002,378.179016,394.888,404.576996,413.80899
0.6,345.333008,361.660004,353.686981,353.648987,362.347015,379.743011,396.451996,406.904999,416.671021
0.62,345.408997,361.851013,353.535004,353.648987,363.110016,381.040009,397.787018,409.460999,419.074005
0.64,345.562012,361.508026,353.11499,353.610992,363.415009,382.375,398.893005,411.330017,421.781982
0.66,345.408997,360.897003,352.809998,353.457977,363.759003,383.404999,399.88501,413.161011,424.071014
0.68,345.446991,360.897003,352.389984,353.268005,364.063995,384.472992,401.449005,414.992004,426.856018
