Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,314.063995,318.565002,317.000977,318.794006,309.562012,316.123993,321.160004,307.617004,322.457001
0.02,316.582001,320.434998,319.367004,322.304016,311.393005,318.412994,323.716003,309.143005,324.89801
0.04,319.175995,322.876007,322.647003,325.050995,313.338989,320.81601,326.806,310.669006,329.057007
0.06,323.181976,326.080994,325.776001,328.40799,315.970978,324.364014,330.125,312.270996,334.587982
0.08,327.912018,330.238983,330.238983,333.061981,318.984985,327.988007,333.786987,314.751007,340.311005
0.1,333.177002,335.426971,335.388977,338.44101,322.647003,332.48999,337.60199,318.031006,346.376007
0.12,339.127991,341.645996,341.378998,344.812012,327.149017,338.059998,341.913025,322.075012,351.945984
0.14,345.499023,347.902008,347.520996,351.449982,332.376007,343.706024,347.253998,327.149017,358.393005
0.16,352.022003,354.27298,353.854004,358.737,338.173981,349.733002,354.310974,333.634003,366.100006
0.18,359.423004,360.644012,361.255005,365.565979,344.392975,355.798981,362.475006,340.959015,374.835999
0.2,367.015015,367.205994,368.122009,372.699005,351.182983,362.094025,371.096985,348.436005,384.640015
0.22,374.759003,375.140991,375.828003,380.139008,358.240997,369.457001,379.643005,356.599976,394.520996
0.24,381.855011,382.809021,384.068024,387.845001,365.298004,377.77298,387.845001,364.268005,404.859009
0.26,389.675995,390.171997,392.040985,395.70401,372.471008,386.356995,395.130981,372.66098,414.434998
0.28,397.190979,397.648987,399.290009,403.104004,379.451996,394.596985,402.684998,381.778992,423.628998
0.3,404.363007,404.401978,406.576019,410.505005,386.700012,402.036011,410.924988,391.010986,433.165985
0.32,411.649994,411.345001,413.901001,417.220001,393.682007,409.018005,419.20401,400.204987,443.237976
0.34,418.936005,418.668976,420.843994,423.247009,400.662994,416.457001,427.902008,409.70401,453.30899
0.36,425.498016,424.96402,427.902008,429.695007,407.759003,424.582977,436.371002,419.164978,463.227997
0.38,432.022003,430.915009,434.615997,436.333008,414.434998,431.984009,444.420013,428.39801,472.917999
0.4,438.355011,436.713989,440.453003,442.093018,420.72998,439.345978,452.54599,437.743988,482.76001
0.42,443.390015,441.712006,445.870026,446.938019,426.261017,446.251007,459.946991,446.938019,492.527008
0.44,448.959991,447.167023,450.868011,451.631012,431.868988,452.470001,467.653015,456.207977,501.568024
0.46,454.033997,451.89801,455.597992,456.093994,437.401001,458.687988,474.673004,464.639008,510.685974
0.48,458.458984,455.559998,459.604004,459.56601,442.207977,464.563019,480.890991,472.72699,519.575012
0.5,462.541016,459.375,463.494995,462.57901,446.098999,470.132996,487.14798,481.119995,527.890991
0.52,466.279999,462.350983,466.585022,465.478973,449.914001,474.786987,493.595001,489.246002,535.902954
0.54,469.484009,464.487,469.179016,467.119019,453.5,479.022003,499.661011,496.760986,544.294983
0.56,472.497986,467.042999,471.544006,468.493011,456.436981,483.218018,505.039978,504.048004,552.191956
0.58,474.863007,468.683014,473.414001,470.437988,459.299011,487.03302,509.769989,510.953003,559.593018
0.6,476.428009,469.598999,475.015991,471.696991,461.014984,490.695007,513.927979,517.666992,566.421997
0.62,478.868988,470.591003,475.740997,472.346008,462.998993,493.632996,518.315979,523.733032,573.403015
0.64,480.203979,471.621002,476.350983,472.955994,464.753998,495.921997,522.817017,529.645996,580.27002
0.66,480.777008,472.040009,476.579987,472.72699,465.822021,497.906006,526.632019,535.330017,586.182983
0.68,481.540009,472.002014,477.037994,472.72699,466.890015,500.118011,529.875,540.403992,592.59198
0.7,481.92099,472.192993,477,471.850006,467.72998,502.444977,532.087952,545.248962,598.124023
0.72,481.768982,471.545013,476.428009,471.200989,467.72998,503.970978,534.376953,549.713013,603.122009
0.74,481.730011,470.705017,475.703003,470.705017,467.653015,505.078003,536.970947,553.908997,608.005005
0.76,481.311005,470.095001,474.977997,469.256012,467.69101,505.878998,539.297974,557.991028,613.117004
0.78,480.319,468.798004,473.681,467.920013,467.806,507.21402,541.243042,561.919983,617.313049
0.8,479.669983,467.576996,472.72699,466.96698,467.69101,508.09198,543.493958,565.31604,621.662048
0.82,478.526001,466.279999,471.125,465.707977,467.462982,508.968994,545.820984,568.902039,626.393005
0.84,477.571991,464.639008,469.446014,463.990997,467.462982,509.540985,547.842957,572.335022,630.626953
0.86,475.358978,462.541016,468.187012,461.968994,467.386017,510.34201,550.398987,575.539978,635.015015
0.88,474.177002,461.130005,466.394012,460.100006,466.776001,511.600983,552.002014,578.629944,639.973999
0.9,472.917999,459.450989,464.944977,458.191986,466.470978,512.745972,553.604004,581.796021,644.169983
0.92,470.437988,457.085999,462.617981,456.285004,465.745972,513.813965,555.130005,584.695984,647.984985
0.94,468.64502,455.292999,460.747986,454.682007,465.13501,514.271973,557.64801,588.204956,652.525024
0.96,466.96698,453.233002,458.725983,452.355011,464.296021,514.919983,559.479004,591.294983,656.988953
0.98,464.792023,450.981995,456.398987,450.524017,463.571014,516.294006,561.882019,594.346985,661.299988
1,462.273987,449.075012,454.225006,448.921997,463.190002,517.742981,564.171021,597.781006,665.953979
1.02,460.32901,446.518005,452.088013,448.044983,462.57901,518.963989,566.268982,600.528015,670.721985
1.04,457.924988,444.000977,450.028015,447.205017,462.502991,520.376038,568.597046,603.847046,674.765991
1.06,455.292999,441.825989,447.395996,447.395996,461.510986,521.940002,571.075989,607.471008,679.382019
1.08,453.30899,439.803986,445.14502,448.121002,461.205994,523.617981,573.251038,610.713013,683.997986
1.1,451.058014,437.552979,442.360016,448.921997,461.130005,524.687012,575.15802,614.031982,687.92804
1.12,448.425995,435.149994,440.186005,450.601013,461.510986,526.289001,577.065979,617.237,692.277039
1.14,446.02298,432.669983,438.010986,452.583984,461.472992,527.471008,579.430969,620.098022,696.702026
1.16,443.962006,430.075989,436.217987,455.368988,462.121979,528.958984,581.911011,623.302979,700.898987
1.18,441.062988,427.825012,433.661987,457.77301,462.923004,530.484985,583.971008,625.438965,704.789978
1.2,438.201996,425.803009,430.838989,460.97699,463.609009,531.744019,586.565002,628.070984,708.451965
1.22,435.988983,423.590973,428.626007,463.914978,463.990997,533.765991,588.738953,631.429016,713.334961
1.24,433.777008,421.377991,426.681,466.928009,465.25,535.177979,591.256958,634.594971,717.912964
1.26,431.488007,419.050995,424.315979,470.209015,465.669006,536.665039,593.737,637.760986,722.186035
1.28,428.970001,416.915009,422.255981,472.84201,466.013,538.839966,596.255005,640.699036,726.192017
1.3,426.910004,414.626007,420.080994,475.436005,467.042999,540.403992,598.505981,643.942017,730.388
1.32,424.544006,412.604004,417.905975,477.725006,467.462982,541.929993,600.56604,647.145996,733.554016
1.34,421.988007,410.429016,416.494995,479.822998,467.920013,544.180969,602.93103,649.855042,737.674988
1.36,420.005005,408.140015,415.540985,481.615997,468.378021,546.393982,605.449036,652.67804,742.367004
1.38,417.905975,406.270996,414.777985,483.371002,468.798004,547.30896,607.738037,655.958984,747.440979
1.4,415.578979,404.821014,415.349976,484.248016,469.102997,549.902954,610.294006,659.163025,753.086975
1.42,413.404999,402.608978,416.494995,484.896973,469.865997,552.191956,612.926025,662.481995,760.71698
1.44,411.803009,401.196991,418.020996,485.392975,470.895996,553.717957,616.168945,665.533997,768.002991
1.46,409.856995,399.174988,420.72998,485.507019,472.230988,555.778015,618.572021,668.661987,772.734009
1.48,407.415009,397.11499,424.544006,486.003021,472.613007,558.257996,621.39502,671.867004,775.061035
