"","X0.1HZ","X0.3HZ","X1HZ","X3HZ","X10HZ","Tissue","var","Capsaicin"
"1",1.8364902521497,6.31739581112359,27.7592868216364,38.7819269239659,51.9303902398227,1,"Control",1
"2",4.37504417075506,11.0108248578138,24.7604853524542,39.5436588084921,50.8175738010861,1,"Simple",1
"3",3.84463743957273,12.8198027972864,28.112567049346,40.8748059046414,50.6012550323743,1,"Complex",1
"4",1.26831828020807,3.68133905889799,9.88061570398659,20.0015392190026,40.0993514139639,2,"Control",1
"5",1.24615105807496,3.40491401428604,9.78362929932237,21.7640397689939,38.5616629667659,2,"Simple",1
"6",1.07362795052514,3.20537636405341,9.84919180271725,22.3193567776795,41.9433748513069,2,"Complex",1
"7",1.57619163607718,7.18544771488872,17.0368280095003,25.3190686968497,51.3673983429164,5,"Control",1
"8",3.10043590831201,7.82763552851872,19.2992071910261,34.2057278659151,47.6960993284998,5,"Simple",1
"9",4.00715742684758,11.3293707242916,23.7359378852306,35.6192402852225,46.954325997199,5,"Complex",1
"10",2.6609666018755,8.30823438529755,23.8678565666067,28.6999070647543,45.593972331175,7,"Control",1
"11",2.64629081877301,7.13164462316008,18.1661492551577,33.3538370476825,47.6501379418169,7,"Simple",1
"12",2.46841242914939,7.11081566938683,17.3876865490219,29.6517330890999,43.6126116891703,7,"Complex",1
"13",1.61140529663061,3.43890841134124,9.02542457047092,8.40791634293156,15.6067774715928,1,"Control",0
"14",0.530772739244821,1.58476342313343,4.97656741416015,12.7449089452936,28.2831647776961,1,"Simple",0
"15",1.07627565945281,3.19108752840913,9.19489890161949,20.2568271996885,37.0061472871882,1,"Complex",0
"16",1.36597763155272,3.20815125118286,6.29627346316095,7.84317186340096,18.9739454821218,2,"Control",0
"17",0.505754599338491,1.50818115753448,4.73351313935648,12.2013184890681,27.457130797386,2,"Simple",0
"18",0.897732057692413,2.6480402380816,7.70988985783217,14.7114090879964,27.7276005726946,2,"Complex",0
"19",1.41767722527734,3.49592396796628,8.83486493129235,10.612810614793,24.2965172477528,5,"Control",0
"20",0.663019649754168,1.979984211891,6.16231906324602,15.2780904393328,31.817153985453,5,"Simple",0
"21",0.945561299906262,2.82864461896748,8.81779527438814,21.4825180804598,40.7545896965062,5,"Complex",0
"22",1.63513502473729,4.90912222438797,14.592668657311,17.7139423019102,28.1787152030051,7,"Control",0
"23",1.136123136971,3.21039456470895,9.32902307451474,21.1025479104786,38.1576339178621,7,"Simple",0
"24",1.33309486464015,3.9331504060628,10.8121747090334,21.8857637572402,38.065901702162,7,"Complex",0
