Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,275.884979,287.139008,299.117004,307.319,293.891022,291.830994,295.264008,302.321991,298.850006
0.02,276.723999,288.703003,300.528992,309.112,294.34903,292.708008,296.141998,303.618988,299.917999
0.04,277.907013,290.458008,302.207001,310.638,296.218018,294.425018,297.248016,305.411987,301.748993
0.06,279.088989,292.822998,304.266998,312.355011,298.125,295.569,299.384003,307.624023,303.541992
0.08,280.61499,295.417023,307.242981,314.720001,299.765991,297.438995,300.947998,310.256989,306.212982
0.1,282.598999,298.391998,310.180023,318.001007,302.39801,300.03299,303.428009,313.041016,309.455017
0.12,284.658997,301.787994,313.080017,321.43399,306.059998,302.626984,306.326996,316.170013,312.050018
0.14,287.139008,305.296997,316.588989,325.363007,309.03598,305.640991,309.531982,320.250977,315.636017
0.16,290.266998,309.302979,321.013977,329.064026,312.201996,309.645996,312.393005,324.447998,319.945984
0.18,293.166016,313.002991,325.248993,333.527008,316.588989,312.622009,316.016998,329.178009,324.600006
0.2,296.294006,317.16098,329.674011,338.218994,320.290009,316.626984,320.250977,334.175995,329.445007
0.22,300.071014,321.395996,334.252014,342.415985,324.523987,321.166992,324.410004,339.134979,334.824005
0.24,303.618988,326.240997,339.249023,347.337006,329.483002,325.440002,329.598022,344.514008,340.355988
0.26,307.357025,330.856995,343.903992,352.10498,333.985016,329.94101,334.519012,349.968994,346.42099
0.28,311.438995,335.053009,348.519012,356.76001,338.10498,335.014984,339.134979,355.690979,352.640015
0.3,314.987,339.477997,353.05899,361.299011,343.292999,339.287994,344.437988,361.795013,359.048004
0.32,318.877991,343.980011,357.561005,365.953003,348.062012,344.322998,349.701996,367.593994,365.723999
0.34,323.113007,347.908997,361.757019,370.225983,351.608978,349.205994,355.042999,373.582977,372.28598
0.36,327.461975,351.953003,365.915009,374.078979,356.302002,354.20401,360.193024,379.533997,379.075989
0.38,331.391022,355.652985,369.424988,378.084991,360.689026,358.819977,365.343018,385.713989,385.82901
0.4,335.320007,359.01001,373.582977,381.860992,363.817017,363.397003,370.531006,391.283997,392.772003
0.42,339.363983,362.596008,376.673004,385.179993,367.937012,368.127991,375.528992,397.197021,399.714996
0.44,343.063995,365.496002,379.725006,388.194,372.132996,372.438995,380.488007,402.804993,406.428986
0.46,346.994019,367.860992,382.472015,390.864014,374.269989,376.673004,385.104004,408.069,413.067017
0.48,350.389008,370.416992,384.950989,393.267975,377.626984,380.488007,389.987,413.563019,419.476013
0.5,353.670013,372.514984,386.897003,395.595001,381.36499,384.416992,394.450012,418.789001,426.037018
0.52,356.721008,374.002991,388.498993,397.27301,383.119995,387.622009,398.532013,423.175995,432.065002
0.54,359.468018,376.100983,390.483002,398.98999,385.408997,391.131012,402.652008,427.754028,438.015991
0.56,362.405975,377.28302,391.513,400.286987,388.345978,394.107025,406.390991,432.292999,444.042999
0.58,365.037994,377.970001,392.390015,401.316986,389.757996,396.968018,409.518982,436.48999,449.651001
0.6,367.097992,378.962006,393.306,402.041992,391.131012,399.638,412.722992,440.495026,454.95401
0.62,368.890991,379.687012,393.95401,402.460999,393.572998,402.346985,416.233002,444.348022,459.951019
0.64,370.721985,379.800995,394.069,402.613983,394.412018,404.635986,418.86499,447.704987,464.834015
0.66,372.399994,380.183014,394.297974,402.575989,395.251007,406.848022,421.496979,450.985992,469.106995
0.68,373.773987,379.95401,394.221008,402.423004,397.082001,408.603027,424.205994,454.153015,473.03598
0.7,374.994019,379.533997,393.458008,402.346985,397.845001,410.625,426.380005,457.281006,477.38501
0.72,375.947998,379.075989,392.962006,401.697998,397.921997,412.151001,428.326019,460.256012,481.313995
0.74,376.444,378.35199,392.46698,401.049988,399.371002,413.906006,430.462006,462.888,485.166992
0.76,376.977997,377.703003,391.665009,400.363007,400.248993,415.432007,432.292999,465.406006,488.906006
